RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1804.694541018246,1815.8693686587928,1827.3703399232552,1837.3436866659692,1847.7700972833636,1857.5904553507794,1869.6696756646231,1879.6935704506643,1894.0351665282917,1905.4556778643996,1920.6680077530125,1933.969982198168,1944.9414923084064,1954.6418457109255,1963.4240478551721,1972.2485171178002,1980.7009691144729,1990.2278563765587,2000.7913378358553,2010.073783419902,2018.6217286899562,2027.5874365127,2034.9655505573126,2044.9528490121268,2058.7455291855545,2071.9784159992137,2086.283367424122,2096.4688057029744,2108.335438621378,2116.572380594342,2125.5717029012917,2132.2269359002235,2141.2750261480023,2149.914296603837,2160.748433454711,2169.6615186820613,2180.0670177300676,2191.9296937653894,2198.276631452972,2205.974234889955,2211.064595920625,2222.4522820304246,2232.258923516039,2243.888820156023,2252.184294219262,2261.635104096278,2271.3361360571935,2279.9897652300415,2286.0002610916076,2290.413055470348,2298.760115854953,2307.972028016611,2318.129615461673,2324.64439189234,2331.294421488698,2337.6958453846014,2345.060112544318,2351.3724181546468,2356.2601040323707,2362.13431672125,2368.2329572861145,2374.6353052090753,2369.9354176847046,2362.6559094588138,2353.473679626138,2344.3560328869735,2338.7367493594493,2331.6654272113196,2326.0878195444534,2326.1710069273736,2330.8332718871225,2333.5270952927394,2339.052547035603,2343.8772600537054,2353.5882221314623,2364.820825260972,2383.3064185769117,2411.2497121705924,2443.1263190320146,2479.909189514038,2513.354496093782,2541.8233335349687,2564.2481171754634,2589.976776271993,2612.4345822336586,2638.4903893183573,2657.6089367369905,2683.1661344182476,2703.891674680203,2721.5443449987515,2735.137778678225,2746.131661766036,2756.397482123993,2761.110422469531,2768.788504795579,2773.7946053610403,2779.823897805526,2784.337967498127,2791.7364409153533,2797.5221848701685,2799.2730106890135,2799.7108242320974,2799.3311818572765,2803.660687152245,2806.0741070929457,2813.2092075415894,2819.833922236301,2826.766015754601,2833.45702646923,2839.1478495452343,2844.7363821470312,2847.7409765142756,2854.3088414893255,2860.9680724769682,2869.0578726773297,2873.582433438501,2880.428449479812
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1480.0812941344961,1481.1346375886164,1485.7195011481324,1489.3145117189333,1495.3473251616656,1498.1570481263334,1501.2106523964178,1505.2785524985115,1509.5302793670096,1515.1418411698476,1519.7407617011047,1525.0254094065192,1529.311096495646,1532.8566242166517,1535.0207044789067,1536.0972271635346,1536.9099006719584,1540.419546856078,1545.715135694206,1553.0797833858644,1556.5450775449947,1559.4974373082377,1558.9556125762876,1558.3169665741596,1559.6275447057378,1565.7683654681439,1574.394959599952,1580.8380999830845,1585.2246642918838,1586.3600171159833,1587.008093147031,1585.2709863098448,1588.7990357840151,1590.1214238212008,1594.4353676082183,1598.0972852699256,1602.633662766269,1607.002376141179,1607.6088855313976,1609.63434891116,1612.1865895778913,1617.3010864672256,1622.079375085195,1624.1992567376763,1623.6125892300377,1624.494401678126,1628.6438435813307,1636.0669546285376,1640.3869661304484,1642.8047384770928,1646.0515298111507,1649.6098673138206,1653.8521723145502,1657.2793097265435,1660.9583295717582,1667.464070194605,1674.3495138733979,1681.3238677487682,1685.120602323416,1686.7961593340642,1690.2151526994899,1694.3680496416632,1696.6002906598103,1686.373392228347,1674.5096262071359,1664.5191894418924,1659.101262628753,1653.6962241699584,1646.5771521027768,1635.9929487169843,1627.996023259785,1625.8411420394127,1625.0598722931616,1630.4077682533166,1637.5569030012582,1655.2622405242905,1672.9620809477587,1691.6792313046603,1706.6868555391534,1721.598530956938,1737.4452017000826,1752.9771011136074,1767.6638028456903,1781.0543396326798,1794.3598979989904,1804.6803559770788,1816.0349483609536,1827.0630755906989,1840.8883319128672,1852.0891104521475,1865.5853309387546,1876.7346645821854,1888.278386165446,1901.739610694126,1914.6636109247304,1924.7303870286844,1931.7149448613472,1938.9056171240447,1946.9160822658973,1952.693278568283,1961.1946069444084,1970.083402195781,1978.4422632190822,1987.7960225268564,1994.3665534317006,2001.3922156179012,2008.7282131810034,2017.6451897762188,2028.4059057550078,2038.9413420650303,2047.7029528778633,2056.0259642620317,2060.5985012537794,2065.7383245761034,2070.623535195427,2075.7493639779696,2082.42255801061
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1237.3448512500838,1238.916790727977,1243.8187824769125,1245.3331125332743,1247.846014983341,1250.1172038333582,1253.1178339616447,1257.8414828707012,1259.226537670887,1261.390094733924,1262.1733690272836,1263.517603598608,1266.2839462752108,1267.2409870881067,1270.7455880492503,1269.9372658034342,1267.2668515463681,1264.7591653960267,1265.9270378839478,1267.6777478427985,1266.0967412445723,1264.9956278326986,1261.6414759576717,1260.9802450658422,1261.835418726857,1268.0445588385667,1274.1073920483072,1274.3786594388205,1277.4214205464918,1276.5914156812403,1279.0092762383604,1278.0774571341979,1288.652065458947,1298.9184430909238,1312.3560408816795,1320.683766341276,1324.470774545208,1328.362270152133,1326.2125473377578,1330.9663616876358,1329.5628238854772,1333.1152001047194,1333.3783711542399,1336.118846868097,1335.8874958948395,1338.0103010515807,1340.5019014354257,1341.305696840363,1342.4879685977794,1338.957711599324,1343.1200231825303,1345.8206387591572,1352.1701479292333,1356.5608361887685,1361.0878761992528,1365.2054040458643,1366.7233282120114,1366.6946532154252,1365.5904446253744,1367.9989384575133,1372.2251095326342,1379.136284623024,1385.897504820544,1381.6551121521138,1372.1419334703544,1361.4615772688273,1360.8652912300845,1362.6081043194176,1366.1945186965431,1370.4327045743478,1375.6444803709198,1379.2548754304871,1383.0023359293937,1384.8504919268807,1390.03736173959,1401.9066714253024,1419.6722276176047,1442.262639275782,1460.967368004564,1480.6949194300942,1497.368298623563,1510.9020061270417,1521.7599716604607,1529.5485395162086,1537.5447197706612,1546.8125757976068,1555.0961266969402,1564.8342381375262,1571.9959884625594,1580.985212368428,1587.9602291679425,1592.4267534836833,1594.198645949873,1596.3577277446873,1598.5321032068869,1602.3922746220562,1608.4202941707404,1615.0312507588553,1623.3743965169638,1625.2770980219757,1628.4661922117914,1628.7426309079028,1631.2414862197477,1631.5990965757398,1632.601558693859,1637.1755478267908,1642.5939563081877,1648.1573798805643,1651.5495323286987,1653.7721111725853,1654.2316561639766,1657.3480042949607,1659.4390987026927,1661.6841641928406,1663.670988725213,1668.0648799113558,1673.6750019312356
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,961.219547149079,972.5986541891488,977.007610838792,986.5176037300823,986.7398716285285,992.8318547026739,994.174352972696,997.848667884683,1003.1559863354926,1009.5831097015628,1015.7642519043169,1020.7480138204629,1026.0578794238006,1027.5300703566402,1030.7383580252,1032.9164152349724,1039.1786020160932,1044.3279112876676,1049.9801691865089,1054.6335172449528,1058.58622045652,1061.8456674932838,1066.0672993607604,1070.3242698052832,1077.1458803467306,1083.1360106899504,1091.1002536579572,1095.241529657052,1102.7898968945715,1107.3077474839276,1113.7727785771103,1118.4032042273345,1123.5149816823402,1129.6909196729264,1135.8831649390638,1141.4588529534155,1146.6147760096912,1151.0672226747088,1159.064419444984,1166.7166193901598,1174.7210115565983,1181.5835569480782,1189.144974587821,1197.4169282542841,1206.8254194574845,1215.7896351994043,1224.4231740152836,1232.4909657272513,1238.1283069719475,1247.0054922001555,1253.031802602108,1261.8328615870216,1268.3431343580803,1277.8494240650846,1286.1942971715296,1295.4903179229123,1304.1405020401696,1313.110715313601,1322.5388180910033,1333.238340215502,1345.9958451949644,1357.3750076673957,1359.5892188488933,1357.370321959129,1353.4625826446547,1353.0659958655203,1360.8989510937563,1372.8442405467838,1388.3151130195006,1405.9862162439622,1424.1733779650542,1440.501119859661,1456.9425580244867,1472.3760331193553,1493.9884482049197,1522.7860694694896,1562.268897861234,1605.5295100803758,1648.068173506052,1686.6230615844254,1720.253150527644,1748.0936799657566,1769.1426366491514,1785.7713299284032,1800.2025011615617,1811.662401751091,1822.0119717413343,1830.9432666925352,1836.5330447653687,1840.5243904021083,1839.4877991723768,1836.8200992606833,1830.729230991349,1826.3937856423402,1825.6333876959402,1828.0473669325813,1828.8820014053508,1831.1003520976587,1836.2116942708442,1838.2824267008016,1838.171979968393,1835.1999580829606,1835.4703613665797,1834.9632805061476,1835.0934335842148,1838.2715815442953,1841.0872991879448,1843.0761790003335,1846.234975576057,1849.0882010722737,1848.1225038542257,1847.9617852503093,1848.0184008626738,1849.6065504879539,1850.6141910804968,1853.3104914253672,1857.595464210029
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1734.4387831074573,1743.5402050351008,1750.640646548688,1751.7283525244366,1757.0675208962741,1761.7700797608252,1775.0907676602847,1787.0108190005158,1798.8183380388045,1809.0636543719577,1815.5898723462153,1827.7753893477209,1834.2941567163364,1840.1779919329683,1845.4840242650162,1852.9653047979912,1861.1508506358578,1872.383728178454,1880.6340743317921,1889.2579545914637,1896.2890071909403,1905.158059470905,1914.7045079247844,1921.5716543959775,1929.1593423032218,1942.0891544606516,1956.8732436951884,1972.605009657827,1982.2784921095395,1990.9294188565798,1998.9858328793932,2005.4191553722605,2012.8239420685156,2020.2990206831394,2029.5476973398947,2035.988407079924,2047.5430416624263,2057.8432331620306,2069.1046190155043,2076.0299933312544,2085.8028124219377,2092.7308657726862,2099.703884470092,2107.428522643509,2117.173291378062,2124.7004730322838,2128.836601305845,2135.868510936809,2142.0895282173537,2148.767113004113,2151.1326859678984,2156.200097987558,2161.8529014747323,2169.5296547845937,2177.719630472821,2185.9675221825955,2192.3487921958335,2199.958994565517,2209.1526250836546,2217.8542858404826,2224.6017532664173,2230.545528335649,2231.1266123861856,2222.4370732453326,2212.3384078720755,2207.5440367539227,2210.5030050534624,2213.918390472413,2222.0289048816703,2241.075302850989,2263.6636939084037,2282.6743382932823,2297.965624018644,2312.8103702704143,2332.5174610828817,2358.861208376582,2391.3438148454525,2422.7885050129426,2463.4614261004995,2509.340803839721,2564.43550845703,2608.0393691110576,2646.848087111548,2678.106586667837,2710.0748852162246,2741.939217892607,2768.381258690155,2803.898982797095,2836.6091008948183,2873.538479393459,2895.3642106965017,2917.1527668584586,2922.9244019702132,2930.8757968682658,2934.4060093959642,2944.657146188308,2953.102237629343,2962.5678143931373,2977.7549948791425,2990.051720483392,3005.2079882702133,3011.0979552987296,3017.8336679618055,3019.8238260251183,3020.5427281576976,3028.058250139665,3039.1574378803834,3048.413733249103,3057.8817369281483,3064.9677949587717,3067.4304065074366,3064.4884390993084,3057.7227962307757,3054.526234886922,3054.22400872795,3054.721722319995,3059.9888053678183
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1998.3607219071391,2007.4332128058809,2016.6818603536651,2027.0285059360908,2030.5223877776707,2036.140291737175,2042.907758696404,2056.648654023606,2065.639587852002,2076.403626808617,2080.5006871112246,2090.7965341723875,2098.324152214031,2106.192797745709,2107.229748841134,2108.7972453355187,2119.5139252147856,2131.7250082087344,2142.097482361783,2144.731754654402,2152.865190688017,2157.194989938631,2168.796915927552,2169.3253731991463,2180.173799947148,2189.6415866595894,2208.3336311585927,2221.8348698155423,2226.9581217170307,2232.107257274304,2235.5137148305066,2243.7419836277977,2250.046366733327,2253.379348338026,2259.50585023173,2267.2309254509614,2277.1105573575824,2281.819447895617,2287.4977417168116,2292.3778195063287,2296.6854175689487,2300.6506636386957,2304.282948922408,2308.7683935006926,2314.0819190111138,2322.6562014435153,2329.125000180365,2337.5417834244345,2338.527113499006,2344.735971496882,2346.5941826254166,2351.4931961352045,2359.1823691624804,2366.6911012517935,2375.5678066740384,2382.706453904978,2389.0385742015637,2394.973999116512,2399.7713085279374,2404.3959975077614,2411.654809534368,2417.833580215571,2420.408699999038,2410.1046751489066,2398.3907432590345,2386.6515458227645,,2378.4020527727266,2385.7261382261445,2401.9389699572084,2417.359743602373,2435.2920944912075,2454.1738204969656,2478.614309427229,2502.0049058858053,2528.359058026323,2560.978493700859,2606.2808369120653,2667.2617726029553,2743.091984912856,2811.2876077467763,2861.1759677541095,2898.1144557764133,2926.7172697245896,2955.1198604158867,2979.600697338995,3009.0940488346005,3045.0588690324457,3074.9068498374922,3095.9622769550206,3098.127226695981,3089.7012490351512,3077.3044819208226,3073.5514917343344,3078.1482945668545,3080.83432370497,3083.7584802378938,3087.448208481978,3097.831337769874,3108.2353526289535,3118.504606216451,3125.68504860559,3140.066703562054,3154.0537360286203,3162.5037915877197,3175.900857553594,3188.0791835505806,3203.8109175550653,3217.418106658508,3229.6110380257473,3232.749940069212,3230.9336732383445,3229.4359890470714,3230.241364633711,3229.3414448771614,3229.010757795211,3234.761583286336
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2440.5950405133613,2457.0064743347148,2477.577286405737,2488.2087132171296,2498.469012375094,2513.3190526306416,2517.3814778905444,2523.359375420096,2536.2625293651427,2555.523484750494,2563.2163080457203,2560.3998161653735,2561.2553574762455,2568.6836198997653,2576.2035483953514,2574.6426750615724,2570.1326196639798,2569.6027290831216,2575.8048005657506,2584.361944752505,2590.3710442040942,2596.8949834620616,2614.429564736843,2623.270857343727,2624.974546398074,2616.299427790816,2611.1506380150054,2616.050392800662,2617.9817263523805,2623.4011299862264,2628.854268993743,2636.0370268297675,2634.863968531996,2627.351161421289,2622.4762874073954,2630.804891005611,2640.8070582768482,2646.085456307383,2648.488778180524,2656.6300492512623,2663.6628946892333,2669.696028553528,2669.284050605701,2673.070353520101,2675.162322398711,2679.523656236354,2683.0168783185636,2686.341620689422,2698.4449734213604,2713.6864796743257,2727.2209319859153,2734.1750363778683,2744.5438098689237,2753.6415683672376,2767.38645664318,2777.326618506163,2793.8244910256753,2812.287774601328,2829.1844163135056,2842.5566388470193,2850.4679835954166,2861.1394736715783,2855.054555425458,2836.712635934917,2804.338987352388,2762.4230419117134,2726.4186463237475,2685.7534908902435,2642.8327347165114,2614.065972369545,2599.4531312828803,2600.9659603704863,2599.4083774554274,2603.3778586035755,2609.3365176427383,2632.3603459540477,2658.844904636272,2698.6502021717806,2738.762852138067,2789.0606282976737,2846.170053000891,2894.1283424836784,2947.9252814327247,2985.6196533073335,3027.8370565304135,3058.0248006976126,3095.4504448734783,3128.2934948044704,3170.2751489928187,3210.763521740365,3252.2053198061935,3286.455290071539,3305.262105188492,3321.5086472111066,3325.2341848523465,3330.654145709915,3335.144723692338,3342.6251957773698,3348.3090000262473,3359.477204074015,3365.459187139292,3375.572084264801,3379.096701923187,3389.1200649452708,3403.2238104471676,3416.5265787663648,3431.9711083466477,3449.7344037089056,3465.203622121532,3481.7575688493926,3493.813339049263,3498.5347264369516,3500.57705867555,3495.7595237694154,3494.0344823145465,3487.070036775842,3481.388993787828
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1667.1973158937446,1678.0356979500941,1687.9283496756755,1696.7529109978132,1703.9079643122172,1710.7813980934075,1718.164267503014,1726.2932089732385,1733.4534727396483,1737.0835836180702,1746.1566404609011,1755.0826676276974,1761.4658264433974,1763.2189752596225,1763.1010575019777,1762.4444613535302,1760.1768547289996,1757.958013396763,1758.0596523857942,1756.4139486623205,1755.8777242824801,1754.9835223316754,1754.5722148054563,1752.905408348439,1756.7373646608921,1761.2880485090443,1768.2791497920232,1769.2772655430826,1770.8420386297576,1772.4721591720809,1774.1261775815715,1777.901315515044,1781.4485946724176,1786.112984393976,1786.620801598902,1788.6931144784116,1790.8652766246448,1796.1313796274912,1798.9395050094158,1803.5450396594536,1805.5535633335242,1811.3406878072565,1817.1761592094238,1823.217810348725,1827.6379454425405,1830.111657556941,1832.251650896596,1835.0452608274647,1837.8553803872999,1838.1522465706316,1839.8189099774108,1843.4342386364767,1849.452874496893,1852.789938132288,1855.8938210411773,1858.3770163755364,1862.3429503358736,1867.7128938691421,1875.4871194754915,1882.6556203175553,1889.1932673526594,1896.6152679180543,1889.8808654168486,1879.6591713354437,1868.1414915373891,1862.6374654864223,1862.6414622728237,1863.538742745227,1863.4543253159893,1871.4143061422533,1887.6632871891898,1905.5666602866165,1931.027801581044,1962.2912421647884,1997.4045397698726,2036.8216090050284,2081.509460654663,2137.3582570637204,2201.866228923519,2268.0476196257496,2332.4440937367826,2386.220995373078,2434.8718550410545,2490.0034245785323,2539.934941948932,2597.758177428987,2648.51824824609,2704.633213362743,2751.1245133298,2786.085990429993,2809.077837083634,2823.624845397856,2837.639955853349,2844.095558608598,2846.850279822618,2852.8276212335545,2859.0249638369683,2860.184441419778,2858.947777485901,2859.015599299451,2860.4402319923925,2861.7172434666218,2860.9071987494763,2862.8995936563656,2864.1230976087804,2877.0062788042865,2891.5881588916527,2898.0899689479834,2903.7731025488374,2906.1494684904815,2912.0424131195573,2912.2822885920386,2914.1667333369214,2917.758110558176,2925.37614899047,2933.468824069991,2941.730409421059
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1093.019250191014,1096.0734364427112,1101.152273655575,1111.0289776596385,1118.738864549993,1123.805765480499,1130.5195761552918,1135.6604528957498,1141.975989409983,1146.3443980332224,1153.1049893088548,1159.2824788541452,1164.8679967312291,1170.6596983350787,1175.4779228539403,1181.4211669704855,1185.1048832727945,1191.1911735698588,1193.4403282565688,1199.869045406414,1205.7101876087033,1215.3982895542913,1219.523505573468,1224.8383992769593,1232.5928107012148,1237.5351672615343,1246.2155787483587,1250.7129499707892,1260.4711734880445,1260.6842419880873,1264.8896747778367,1265.8204804564905,1271.8262033514177,1272.6985874196785,1282.7937177807964,1289.3544843434906,1294.038891651513,1299.0452929745527,1298.4116903772915,1299.768361050919,1296.7278858554037,1302.774052013062,1308.7876858414695,1313.9695664836277,1313.406925020013,1318.9028559160631,1323.3570535502954,1331.2734301772884,1334.8827479118308,1336.0671556577531,1342.4972693557843,1348.7829275664456,1356.0960233618987,1360.3169462098826,1362.9892206750371,1366.7189714943145,1372.1393432011153,1374.3606476512305,1373.6445180632368,1371.508220076413,1372.8112873450239,1376.0425932862033,1385.5867013018787,1380.6881946596375,1374.803166208653,1364.5242745999553,1361.1633929972334,1360.5709696121098,1365.4453467852657,1373.3974965307118,1380.3407717952578,1390.9654002143322,1396.764980530625,1406.3627978332986,1413.870400101729,1430.583132551891,1450.3613697514004,1474.2459905446165,1501.470641004056,1529.2687452153596,1556.1819608033807,1577.4397059368353,1596.8104575023224,1613.3903466625325,1629.296707031265,1646.096980278601,1658.0030424263882,1675.2540766320653,1691.0953436361601,1714.30287651401,1726.935032374191,1731.304553045814,1729.8371373110276,1724.7571916324252,1722.3563177655462,1720.3680930919077,1722.8680653226745,1726.482580994597,1734.6539650803986,1737.2375601941187,1736.6255948966136,1729.14258117692,1724.9098075947982,1721.8367378942585,1722.2082565652452,1728.697275525871,1733.613030894389,1737.9909751786454,1739.2608100173782,1737.3904315508712,1734.1637133363179,1730.0297650369591,1727.7905618015848,1725.9144960309384,1725.224427163769,1726.7631960708438,1727.7743126731575
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1393.38432020423,1394.8692931368819,1398.145202554045,1406.294291579122,1413.9795653705382,1422.600709528239,1428.5030231295445,1433.8200137305087,1439.7044371786776,1449.3292312848014,1455.9666711411242,1464.1193546944432,1464.2113354974472,1471.4852573429052,1474.5506294370678,1476.1743105250514,1481.0193941541454,1484.2409251739675,1492.8014091591258,1497.6620937553985,1509.9369267112318,1514.1114521157192,1522.3108507448194,1524.0081732787867,1539.9745808520615,1549.3066497534849,1562.387996669295,1573.9158261573161,1582.8197765440934,1592.5116751072621,1597.8287750356892,1608.4767662378108,1612.3935489631378,1618.494559242512,1624.3933012220778,1632.4668492896299,1641.9816819844366,1652.4768408742834,1662.1478969095494,1665.2991706551402,1667.8900438341257,1675.078868538399,1683.6353691540994,1691.7480649978647,1701.7574539169766,1713.7271150399504,1723.5149582445292,1732.3692135781375,1735.2798289861016,1738.1512731287003,1742.2905830098262,1752.550410411407,1763.9066905783588,1771.5932589665933,1779.3044530842164,1785.3966655825816,1791.6800060797566,1796.9021569000897,1803.175007266046,1810.4606992063862,1818.7817832596522,1827.8706967425862,1829.1494186647737,1830.8515294753033,1828.3715034770175,1836.7391623770388,1850.4344454476459,1873.4877581098706,1896.0908171689264,1923.920962750163,1951.973357702563,1980.7526394269319,2007.9569709553157,2035.7032111286896,2060.2080203715764,2082.234291751408,2119.624914880261,2156.3563528764475,2204.055467214255,2237.839338868512,2275.401262681303,2296.7241440532034,2323.4436672377765,2335.9632625273425,2364.1651619858053,2379.960631349573,2413.8533197409783,2442.0097353802994,2462.7268871208594,2478.298659793963,2482.6731839409454,2490.474333125112,2490.979339061812,2485.195536781794,2484.6240543391227,2485.6722716987024,2497.5909590166143,2501.9795883024153,2506.526848205758,2509.3535083601037,2513.597980974645,2516.2039868388524,2515.428903404033,2523.385154917278,2524.6969914771216,2543.0463679381955,2553.7434864755105,2569.2621074393915,2568.010647725098,2577.95561045336,2579.1117342115,2584.9100106592127,2589.610766995974,2597.6716891832784,2610.9278968485496,2618.33432712082,2633.2441422102734
