Geography,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 29 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Year,RegionName,State
0500000US06023,5.3,5.7,5.0,6.6,9.7,6.6,7.4,6.8,5.5,5.0,6.6,8.4,6.7,5.3,3.1,3.0,1.6,1.7,2013,Humboldt County,California
0500000US06025,8.2,8.4,7.2,8.0,8.1,7.3,6.8,7.1,4.9,6.5,6.0,5.0,5.2,3.1,3.2,2.5,1.7,0.9,2013,Imperial County,California
0500000US06029,8.4,8.6,7.8,7.8,8.2,7.7,7.1,6.5,6.1,6.0,6.2,5.1,4.7,3.4,2.4,1.7,1.2,0.9,2013,Kern County,California
0500000US06031,7.8,7.6,7.9,7.4,8.3,8.3,7.6,7.6,6.4,6.7,6.9,4.9,4.0,2.5,2.5,1.0,1.2,1.5,2013,Kings County,California
0500000US06033,6.2,5.1,5.5,6.6,5.2,5.0,5.7,5.4,4.5,6.2,7.6,8.4,8.8,7.4,4.5,3.4,2.7,1.9,2013,Lake County,California
0500000US06037,6.4,6.3,6.4,7.0,7.8,7.9,7.5,6.9,7.1,6.9,6.8,6.1,5.0,3.8,2.7,2.0,1.5,1.8,2013,Los Angeles County,California
0500000US06039,7.8,8.4,7.3,7.5,7.2,6.6,7.1,6.5,6.2,5.9,6.2,5.6,5.4,4.4,2.7,2.4,1.6,1.3,2013,Madera County,California
0500000US06041,5.1,5.5,6.7,5.6,4.0,4.3,4.8,6.1,7.3,8.1,7.9,8.0,7.7,6.6,4.5,3.1,2.1,2.7,2013,Marin County,California
0500000US06045,5.3,6.2,6.0,6.7,5.0,5.5,5.4,7.6,4.5,5.9,6.7,7.8,8.9,7.6,3.9,3.0,1.9,2.0,2013,Mendocino County,California
0500000US06047,8.2,8.1,8.9,8.9,8.1,7.1,6.7,6.1,6.5,5.9,5.8,5.7,3.8,3.3,2.5,1.9,1.3,1.3,2013,Merced County,California
0500000US06053,7.7,7.4,7.4,7.1,7.8,7.6,7.5,7.0,5.9,6.0,6.3,5.4,5.3,4.1,2.3,1.8,1.9,1.6,2013,Monterey County,California
0500000US06055,5.6,5.9,6.7,6.7,6.5,6.1,6.4,5.7,6.7,6.7,7.0,7.3,6.2,5.2,4.0,2.5,1.6,3.2,2013,Napa County,California
0500000US06057,3.9,5.3,5.3,6.5,4.4,4.1,5.0,4.1,6.2,6.1,7.7,9.4,9.1,7.5,6.1,4.1,2.3,2.8,2013,Nevada County,California
